ID,TICKET_SIZE,USER_ID,DISTRICT_ID,CREATED_AT,ORDER_STATUS,WAREHOUSE_ID
1,1564,3648,999,2023-01-01T00:02:13,cancelled,3
2,1170,2845,592,2023-01-01T00:06:33,cancelled,1
3,1940,6757,539,2023-01-01T00:22:07,cancelled,8
4,2382,6946,606,2023-01-01T00:40:14,cancelled,12
5,1478,5139,586,2023-01-01T00:46:09,delivered,2
36,976,6972,167,2023-01-01T00:46:52,cancelled,3
125,1374,6966,995,2023-01-01T00:48:47,cancelled,
218,3200,6728,567,2023-01-01T00:52:34,cancelled,2
248,2270,2760,591,2023-01-01T00:52:35,delivered,13
343,810,1030,550,2023-01-01T00:54:45,delivered,21
409,1363,831,531,2023-01-01T01:03:45,delivered,1
452,820,1051,550,2023-01-01T01:04:50,delivered,21
552,843,497,585,2023-01-01T01:16:56,delivered,21
627,6630,993,565,2023-01-01T01:18:13,delivered,1
706,6746,7047,550,2023-01-01T01:34:12,cancelled,21
738,3044,242,569,2023-01-01T01:47:06,cancelled,21
773,839,6163,669,2023-01-01T01:48:41,delivered,5
815,3774,7059,561,2023-01-01T02:23:04,cancelled,4
907,2781,2772,539,2023-01-01T02:29:08,cancelled,8
933,5562,6755,569,2023-01-01T02:33:25,cancelled,21
984,1160,7030,170,2023-01-01T02:38:29,cancelled,3
1064,1303,8171,545,2023-01-01T02:40:41,cancelled,14
1065,719,5316,537,2023-01-01T02:48:22,delivered,14
1145,1530,826,448,2023-01-01T02:50:03,,3
1197,2952,1504,549,2023-01-01T02:59:40,cancelled,8
1273,7977,707,592,2023-01-01T03:19:30,delivered,1
1289,911,7149,279,2023-01-01T03:21:21,delivered,3
1328,5302,7747,269,2023-01-01T03:27:20,delivered,11
1382,1860,2841,572,2023-01-01T03:59:29,delivered,14
1417,2304,2791,531,2023-01-01T04:11:45,cancelled,1
1476,5046,6217,545,2023-01-01T04:25:50,delivered,14
1568,3567,7005,572,2023-01-01T04:35:59,cancelled,14
1654,1158,3722,592,2023-01-01T04:37:42,delivered,1
1671,1221,5521,665,2023-01-01T05:25:05,cancelled,15
1755,1215,2742,308,2023-01-01T05:25:10,cancelled,
1824,4603,5180,598,2023-01-01T06:01:35,delivered,7
1921,1051,2815,569,2023-01-01T06:09:01,cancelled,21
1933,6027,6908,549,2023-01-01T06:38:07,cancelled,8
1947,1253,6908,549,2023-01-01T06:38:07,cancelled,25
1957,1437,5358,533,2023-01-01T06:57:46,cancelled,1
1962,3535,6915,534,2023-01-01T08:18:46,delivered,1
2016,942,6739,552,2023-01-01T08:20:21,cancelled,14
2055,2354,5799,565,2023-01-01T08:55:09,delivered,13
2088,805,6732,220,2023-01-01T09:02:26,cancelled,3
2103,4167,739,559,2023-01-01T09:12:34,cancelled,14
2108,1988,351,580,2023-01-01T09:22:13,cancelled,4
2185,931,776,221,2023-01-01T09:36:07,delivered,11
2233,630,776,221,2023-01-01T09:36:07,cancelled,3
2236,1493,475,548,2023-01-01T10:35:33,delivered,14
2300,2004,3006,547,2023-01-01T10:38:56,cancelled,26
2311,11403,2998,536,2023-01-01T10:43:16,delivered,14
2401,1020,8170,586,2023-01-01T10:45:14,cancelled,2
2488,1925,8094,590,2023-01-01T10:49:18,cancelled,14
2556,2653,8113,545,2023-01-01T10:51:00,delivered,14
2629,4550,8360,547,2023-01-01T10:51:11,cancelled,26
2699,1473,8204,668,2023-01-01T10:53:13,delivered,5
2740,2037,8217,565,2023-01-01T10:54:01,cancelled,26
2749,1147,8303,1208,2023-01-01T10:56:35,cancelled,17
2832,1040,6920,497,2023-01-01T10:57:02,cancelled,12
2904,685,6801,545,2023-01-01T11:01:06,delivered,14
2953,418,8286,578,2023-01-01T11:01:53,cancelled,20
3050,2234,983,531,2023-01-01T11:04:59,delivered,1
3078,1205,6951,667,2023-01-01T11:32:50,delivered,5
3094,1840,1535,582,2023-01-01T11:42:10,cancelled,8
3105,4843,5100,588,2023-01-01T11:55:55,delivered,14
3114,12439,6736,530,2023-01-01T12:01:33,cancelled,4
3209,5336,3310,700,2023-01-01T12:15:36,delivered,5
3304,1561,3521,441,2023-01-01T12:16:28,delivered,12
3392,1664,3594,534,2023-01-01T12:19:50,cancelled,1
3402,1597,2860,669,2023-01-01T12:21:34,delivered,5
3468,2721,2950,578,2023-01-01T12:29:03,delivered,4
3526,933,3432,267,2023-01-01T12:33:00,delivered,3
3590,873,3440,456,2023-01-01T12:33:26,cancelled,7
3678,804,3444,596,2023-01-01T12:33:49,cancelled,3
3718,2211,3562,581,2023-01-01T12:34:44,delivered,2
3806,2338,3644,702,2023-01-01T12:34:56,delivered,13
3864,999,3124,763,2023-01-01T12:41:00,delivered,7
3902,1941,3128,502,2023-01-01T12:42:09,delivered,12
3942,3894,4223,561,2023-01-01T12:46:49,delivered,4
3970,2938,4163,399,2023-01-01T12:46:57,delivered,3
4002,626,5257,578,2023-01-01T12:51:18,delivered,20
4077,1431,5584,590,2023-01-01T12:52:22,delivered,10
4147,1437,1610,555,2023-01-01T12:52:59,delivered,8
4214,2236,4378,625,2023-01-01T12:56:22,cancelled,15
4293,935,4577,667,2023-01-01T12:56:38,delivered,5
4346,3176,4960,566,2023-01-01T12:57:20,delivered,14
4416,1048,5084,1126,2023-01-01T12:57:51,delivered,17
4430,873,5583,702,2023-01-01T12:58:28,delivered,13
4466,2158,8010,584,2023-01-01T13:05:41,cancelled,4
4530,1212,6700,555,2023-01-01T13:06:02,delivered,8
4624,0,8011,591,2023-01-01T13:09:01,delivered,13
4702,3799,6949,999,2023-01-01T13:12:37,cancelled,19
4754,1925,2739,301,2023-01-01T13:21:38,cancelled,3
4791,2753,5179,581,2023-01-01T13:29:59,delivered,2
4888,5410,6955,583,2023-01-01T13:37:24,cancelled,14
4911,6581,2802,629,2023-01-01T13:40:21,cancelled,15
4914,4936,6607,531,2023-01-01T13:54:37,delivered,1
4987,3521,6379,545,2023-01-01T14:02:14,delivered,14
5055,1519,2730,168,2023-01-01T14:11:33,cancelled,3
5122,1317,1077,567,2023-01-01T14:15:35,delivered,2
5137,1873,6936,541,2023-01-01T14:19:24,delivered,4
5141,6311,584,590,2023-01-01T14:26:48,Failed,14
5216,870,722,561,2023-01-01T14:32:47,,4
5299,2515,6756,442,2023-01-01T14:36:58,cancelled,12
5363,2051,7054,405,2023-01-01T14:40:34,cancelled,11
5440,933,827,448,2023-01-01T14:51:35,delivered,3
5515,10514,6983,547,2023-01-01T14:54:02,cancelled,26
5550,5426,678,269,2023-01-01T14:59:52,cancelled,11
5639,905,5195,169,2023-01-01T15:12:40,cancelled,3
5687,5216,5559,534,2023-01-01T15:23:41,delivered,1
5782,10648,6981,553,2023-01-01T15:26:19,cancelled,4
5846,5885,5287,497,2023-01-01T15:35:07,delivered,12
5848,590,2232,592,2023-01-01T15:38:55,delivered,24
5883,1510,7009,592,2023-01-01T15:52:41,cancelled,1
5959,7838,6381,545,2023-01-01T15:55:21,delivered,14
6001,961,5212,598,2023-01-01T16:01:25,delivered,7
6026,2267,5848,444,2023-01-01T16:13:10,delivered,12
6033,,7079,895,2023-01-01T16:19:42,cancelled,19
6086,2930,6756,442,2023-01-01T16:22:37,cancelled,12
6163,2297,7146,531,2023-01-01T17:03:47,delivered,1
6245,1366,7145,595,2023-01-01T17:18:06,delivered,3
6305,1938,3688,590,2023-01-01T17:26:33,delivered,2
6352,1402,3575,232,2023-01-01T17:27:42,cancelled,11
6357,862,3543,559,2023-01-01T17:43:25,delivered,10
6411,1446,3520,598,2023-01-01T18:03:00,delivered,7
6422,2674,1027,552,2023-01-01T18:09:06,delivered,14
6491,1571,715,591,2023-01-01T18:11:20,delivered,13
6517,898,629,715,2023-01-01T18:27:29,delivered,11
6538,4131,1076,565,2023-01-01T18:28:47,delivered,13
6545,2500,6337,560,2023-01-01T18:37:58,delivered,4
6642,1862,1075,593,2023-01-01T18:41:06,delivered,13
6709,1215,4528,550,2023-01-01T18:44:46,delivered,21
6809,0,7038,539,2023-01-01T18:49:24,cancelled,25
6829,998,428,999,2023-01-01T18:49:54,delivered,17
6884,1031,1364,593,2023-01-01T18:52:59,delivered,13
6927,1573,5093,551,2023-01-01T18:54:35,delivered,4
6947,1188,4643,550,2023-01-01T18:57:54,delivered,13
7022,2149,7046,170,2023-01-01T19:00:20,cancelled,3
7081,1640,3958,580,2023-01-01T19:02:46,cancelled,16
7117,3000,4297,669,2023-01-01T19:06:42,delivered,5
7174,570,604,581,2023-01-01T19:07:27,cancelled,34
7203,2589,632,269,2023-01-01T19:08:48,delivered,11
7214,2570,3958,580,2023-01-01T19:15:59,delivered,16
